from,to,relationship
ms,bt,3
ms,nb,2
ms,ps,3
ms,je,2
ms,tw,2
ms,ww,2
ms,es,2
ms,sm,2
bt,ms,3
bt,ps,2
bt,je,1
nb,ms,2
nb,ps,1
nb,bt,1
nb,je,2
nb,tw,1
nb,sm,1
ps,ms,3
ps,bt,2
ps,nb,1
ps,je,2
ps,tw,1
ps,sm,1
je,ms,2
je,bt,1
je,nb,2
je,ps,1
je,tw,1
je,ww,2
je,es,2
tw,ms,2
tw,bt,1
tw,nb,1
tw,ps,1
tw,je,1
tw,sm,1
ww,es,3
es,ww,3
sm,ms,2
sm,nb,1
sm,ps,1
sm,je,1
sm,tw,1
